               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  56,            0.042217,            0.014777,            0.019723,             0.85323,             0.89293,             0.97833,             0.57515,            0.030022,           0.0087363,            0.011311,            0.008185,            0.008185,            0.008185
                  57,            0.040261,             0.01379,            0.020491,              0.8892,             0.93162,             0.94443,             0.48145,            0.034568,           0.0078821,               0.011,            0.008152,            0.008152,            0.008152
                  58,            0.040833,            0.014853,            0.019708,             0.89806,                   1,               0.995,             0.57162,            0.029186,           0.0091352,           0.0092912,            0.008119,            0.008119,            0.008119
                  59,            0.040163,            0.014754,             0.01933,             0.76243,             0.93741,             0.95194,             0.55019,            0.030003,           0.0080465,           0.0096685,            0.008086,            0.008086,            0.008086
                  60,            0.037183,            0.013672,            0.018229,             0.77498,             0.80984,             0.85047,             0.46652,            0.034546,           0.0072261,           0.0094723,            0.008053,            0.008053,            0.008053
                  61,            0.039792,            0.013072,            0.018625,             0.72184,             0.95712,             0.89727,             0.46822,            0.031823,            0.006805,           0.0080157,             0.00802,             0.00802,             0.00802
                  62,            0.039581,            0.013311,            0.017317,             0.89019,             0.92611,             0.98389,             0.50203,            0.035763,           0.0071995,           0.0080289,            0.007987,            0.007987,            0.007987
                  63,            0.040393,            0.013219,            0.018687,             0.96516,                   1,               0.995,             0.65268,            0.029604,           0.0067277,           0.0077233,            0.007954,            0.007954,            0.007954
                  64,            0.040214,            0.014401,            0.017905,             0.97704,             0.99174,               0.995,             0.55282,            0.033189,           0.0066632,           0.0070022,            0.007921,            0.007921,            0.007921
                  65,             0.04113,            0.013765,            0.016978,             0.96367,                   1,               0.995,              0.4264,             0.03329,           0.0064823,           0.0064775,            0.007888,            0.007888,            0.007888
                  66,            0.042136,            0.013407,             0.01558,             0.86979,               0.987,             0.98944,             0.44134,            0.035489,           0.0064146,           0.0057733,            0.007855,            0.007855,            0.007855
                  67,            0.039732,            0.013667,            0.015727,             0.86253,                   1,             0.97595,             0.48571,            0.031608,           0.0063735,           0.0055213,            0.007822,            0.007822,            0.007822
                  68,            0.038934,            0.013769,            0.012727,             0.91731,                   1,               0.995,             0.54543,            0.033502,           0.0060911,           0.0056604,            0.007789,            0.007789,            0.007789
                  69,            0.037145,            0.013009,            0.013636,             0.89125,             0.96667,              0.9625,             0.44461,            0.036598,           0.0060451,           0.0054038,            0.007756,            0.007756,            0.007756
                  70,             0.04099,            0.013335,             0.01557,             0.96922,                   1,               0.995,              0.6213,            0.026833,           0.0059553,            0.005236,            0.007723,            0.007723,            0.007723
                  71,            0.038612,            0.013816,            0.013066,             0.95732,                   1,               0.995,              0.6394,            0.026734,           0.0058122,           0.0047863,             0.00769,             0.00769,             0.00769
                  72,            0.037554,            0.013731,            0.013798,             0.96842,                   1,               0.995,             0.63099,            0.030662,           0.0062039,            0.004295,            0.007657,            0.007657,            0.007657
                  73,            0.037623,            0.013163,            0.010762,             0.97764,                   1,               0.995,             0.62448,            0.029638,           0.0061998,           0.0043018,            0.007624,            0.007624,            0.007624
                  74,            0.037704,            0.012344,            0.012046,             0.97659,                   1,               0.995,             0.64849,            0.030119,           0.0060971,           0.0042287,            0.007591,            0.007591,            0.007591
                  75,            0.037376,            0.012819,            0.012493,             0.97428,                   1,               0.995,              0.5854,            0.029826,           0.0062812,           0.0035276,            0.007558,            0.007558,            0.007558
                  76,            0.039951,            0.012715,            0.012281,             0.96804,                   1,               0.995,              0.5825,             0.02817,           0.0062683,           0.0034967,            0.007525,            0.007525,            0.007525
                  77,            0.037517,            0.013268,             0.01245,             0.95945,                   1,               0.995,             0.53236,            0.027073,           0.0062103,           0.0032827,            0.007492,            0.007492,            0.007492
                  78,            0.036245,            0.012235,            0.012759,             0.92988,                   1,               0.995,             0.56531,            0.029843,           0.0061563,           0.0035532,            0.007459,            0.007459,            0.007459
                  79,             0.03747,            0.013218,            0.010596,             0.95843,                   1,               0.995,             0.63318,            0.026877,           0.0061197,           0.0034149,            0.007426,            0.007426,            0.007426
                  80,            0.033877,            0.011851,           0.0098436,             0.94159,                   1,               0.995,             0.59418,            0.033567,           0.0059496,           0.0030474,            0.007393,            0.007393,            0.007393
                  81,            0.036924,            0.012697,             0.01102,             0.91696,             0.96667,             0.95682,             0.41698,            0.038482,            0.006253,           0.0027652,             0.00736,             0.00736,             0.00736
                  82,             0.03708,            0.012327,           0.0099572,             0.91994,                   1,             0.97595,             0.59576,            0.032477,           0.0060314,            0.002822,            0.007327,            0.007327,            0.007327
                  83,            0.036474,            0.012026,            0.010702,              0.9747,                   1,               0.995,             0.65416,            0.028119,           0.0061531,           0.0027504,            0.007294,            0.007294,            0.007294
                  84,            0.034154,            0.011557,           0.0092014,              0.9057,                   1,               0.995,             0.61891,             0.02547,           0.0066781,            0.002723,            0.007261,            0.007261,            0.007261
